iter,type,sid,T0_epoch,T1_epoch,T2_epoch,MTTD_s,MTTR_s,src_ip,status
1,nmap,1000010,1782303972,1782303974,,2,,192.168.56.110,OK;NO_MITIG
2,nmap,1000010,1782304132,1782304134,,2,,192.168.56.110,OK;NO_MITIG
3,nmap,1000010,1782304293,1782304294,,1,,192.168.56.110,OK;NO_MITIG
4,nmap,1000010,1782304648,1782304650,,2,,192.168.56.110,OK;NO_MITIG
5,nmap,1000010,1782304816,1782304818,,2,,192.168.56.110,OK;NO_MITIG
6,nmap,1000010,1782304981,1782304984,,3,,192.168.56.110,OK;NO_MITIG
7,nmap,1000010,1782305144,1782305150,,6,,192.168.56.110,OK;NO_MITIG
8,nmap,1000010,1782305316,1782305317,,1,,192.168.56.110,OK;NO_MITIG
9,nmap,1000010,1782305484,1782305489,,5,,192.168.56.110,OK;NO_MITIG
10,nmap,1000010,1782305655,1782305656,,1,,192.168.56.110,OK;NO_MITIG
11,hydra,1000020,1782305821,1782305822,1782305830,1,9,192.168.56.110,OK
12,hydra,1000020,1782305991,1782305993,1782305993,2,2,192.168.56.110,OK
13,hydra,1000020,1782306070,1782306071,1782306079,1,9,192.168.56.110,OK
14,hydra,1000020,1782306149,1782306150,1782306151,1,2,192.168.56.110,OK
15,hydra,1000020,1782306229,1782306230,1782306237,1,8,192.168.56.110,OK
16,hydra,1000020,1782306321,1782306323,1782306323,2,2,192.168.56.110,OK
17,hydra,1000020,1782306405,1782306406,1782306409,1,4,192.168.56.110,OK
18,hydra,1000020,1782306486,1782306488,1782306489,2,3,192.168.56.110,OK
19,hydra,1000020,1782306571,1782306572,1782306577,1,6,192.168.56.110,OK
20,hydra,1000020,1782306659,1782306663,1782306667,4,8,192.168.56.110,OK
21,nikto,1000030,1782306739,1782306741,1782306742,2,3,192.168.56.110,OK
22,nikto,1000030,1782307246,1782307249,1782307249,3,3,192.168.56.110,OK
23,nikto,1000030,1782307736,1782307737,1782307738,1,2,192.168.56.110,OK
24,nikto,1000030,1782308222,1782308226,1782308226,4,4,192.168.56.110,OK
25,nikto,1000030,1782308709,1782308711,1782308712,2,3,192.168.56.110,OK
26,nikto,1000030,1782309198,1782309200,1782309201,2,3,192.168.56.110,OK
27,nikto,1000030,1782309687,1782309690,1782309690,3,3,192.168.56.110,OK
28,nikto,1000030,1782310094,1782310096,1782310097,2,3,192.168.56.110,OK
29,nikto,1000030,1782310581,1782310582,1782310584,1,3,192.168.56.110,OK
30,nikto,1000030,1782311072,1782311074,1782311076,2,4,192.168.56.110,OK
